Method	Node Count	Edge Count	Subgraph Count
panaroo	8327	10836	113
roary	12687	18770	539
PPanGGOLiN	7277	9280	43
ggcaller	7748	8720	730
bifrost	61286	79955	478
cuttlefish	144483	188298	6
pangraph	1333	1587	379
