Tool,Median,Q1,Q3
PPanGGOLiN,665.0,371.0,1088.0
bifrost,61.0,39.0,61.0
cuttlefish,56.0,37.0,61.0
ggcaller,642.0,339.0,1062.0
panaroo,636.0,342.0,1065.0
pangraph,544.0,172.0,2243.0
roary,560.0,308.0,974.0
