"Tool","degree_bin","frac_bin","total_count_norm_baseline","total_count_norm","delta_pp_total"
"Bifrost",3,"85%–90%",0.00432269329219711,0.00496844795910216,0.06
"Bifrost",3,"90%–95%",0.0114932786357241,0.0087387171499321,-0.28
"Bifrost",3,"95%–100%",0.0699598243799902,0.0458503075325505,-2.41
"Bifrost",4,"0%–5%",0.0672644979742673,0.0786963815001198,1.14
"Bifrost",4,"5%–10%",0.0160363445271313,0.0206246505311926,0.46
"Bifrost",4,"10%–15%",0.00447525893780407,0.00819554277498203,0.37
"Bifrost",4,"15%–20%",0.00215287077689817,0.00332294911734164,0.12
"Bifrost",4,"20%–25%",0.00264447119052059,0.00442527358415209,0.18
"Bifrost",4,"25%–30%",0.00839111050838263,0.00864286284847032,0.03
"Bifrost",4,"30%–35%",0.00618738451628214,0.00781212556913492,0.16
"Bifrost",4,"35%–40%",0.00352596158736078,0.00239635753654445,-0.11
"Bifrost",4,"40%–45%",0.00120357342645488,0.000878664430066299,-0.03
"Bifrost",4,"45%–50%",0.00179688427048194,0.00124610591900312,-0.06
"Bifrost",4,"50%–55%",0.00147480124086725,0.000974518731528077,-0.05
"Bifrost",4,"55%–60%",0.00378023766337238,0.00249221183800623,-0.13
"Bifrost",4,"60%–65%",0.00135613907206184,0.00107037303298986,-0.03
"Bifrost",4,"65%–70%",0.00347510637215847,0.00215672178289001,-0.13
"Bifrost",4,"70%–75%",0.00466172806021257,0.00265196900710919,-0.2
"Bifrost",4,"75%–80%",0.00140699428726416,0.00186915887850467,0.05
"Bifrost",4,"80%–85%",0.00164431862487498,0.0022046489336209,0.06
"Bifrost",4,"85%–90%",0.00423793460019325,0.00484064222381979,0.06
"Bifrost",4,"90%–95%",0.0116966994965334,0.00883457145139388,-0.29
"Bifrost",4,"95%–100%",0.0799952535132478,0.0517772985062705,-2.82
"Bifrost",5,"0%–5%",0.00218677425369972,0.00647016534867002,0.43
"Bifrost",5,"5%–10%",0.000474648675221644,0.00196501317996645,0.15
"Bifrost",5,"10%–15%",0.000186469122408503,0.000670980110232447,0.05
"Bifrost",5,"15%–20%",0.000186469122408503,0.000383417205847112,0.02
"Bifrost",5,"20%–25%",0.000118662168805411,0.000223660036744149,0.01
"Bifrost",5,"25%–30%",0.000101710430404638,0.000207684319833853,0.01
"Bifrost",5,"30%–35%",0.000118662168805411,0.000223660036744149,0.01
"Bifrost",5,"35%–40%",3.3903476801546e-05,4.7927150730889e-05,0
"Bifrost",5,"40%–45%",5.0855215202319e-05,3.19514338205927e-05,0
"Bifrost",5,"45%–50%",5.0855215202319e-05,9.58543014617781e-05,0
"Bifrost",5,"50%–55%",5.0855215202319e-05,4.7927150730889e-05,0
"Bifrost",5,"55%–60%",0.000135613907206184,6.39028676411854e-05,-0.01
"Bifrost",5,"60%–65%",5.0855215202319e-05,4.7927150730889e-05,0
"Bifrost",5,"65%–70%",1.6951738400773e-05,9.58543014617781e-05,0.01
"Bifrost",5,"70%–75%",0.000152565645606957,9.58543014617781e-05,-0.01
"Bifrost",5,"75%–80%",1.6951738400773e-05,3.19514338205927e-05,0
"Bifrost",5,"80%–85%",8.4758692003865e-05,4.7927150730889e-05,0
"Bifrost",5,"85%–90%",0.000135613907206184,0.000143781452192667,0
"Bifrost",5,"90%–95%",0.000254276076011595,0.00035146577202652,0.01
"Bifrost",5,"95%–100%",0.00183078774728348,0.00138988737119578,-0.04
"Bifrost",6,"0%–5%",8.4758692003865e-05,0.000718907260963336,0.06
"Bifrost",6,"5%–10%",5.0855215202319e-05,0.000239635753654445,0.02
"Bifrost",6,"10%–15%",1.6951738400773e-05,4.7927150730889e-05,0
"Bifrost",6,"20%–25%",1.6951738400773e-05,1.59757169102963e-05,0
"Bifrost",6,"60%–65%",1.6951738400773e-05,0,0
"Bifrost",6,"70%–75%",1.6951738400773e-05,0,0
"Bifrost",6,"80%–85%",1.6951738400773e-05,0,0
"Bifrost",6,"90%–95%",1.6951738400773e-05,1.59757169102963e-05,0
"Bifrost",6,"95%–100%",8.4758692003865e-05,0.000127805735282371,0
"Bifrost",7,"0%–5%",3.3903476801546e-05,0.000223660036744149,0.02
"Bifrost",7,"35%–40%",1.6951738400773e-05,0,0
"Bifrost",7,"60%–65%",1.6951738400773e-05,0,0
"Bifrost",7,"95%–100%",1.6951738400773e-05,6.39028676411854e-05,0
"Bifrost",8,"95%–100%",3.3903476801546e-05,0,0
"Cuttlefish",1,"0%–5%",0.000153588859688044,0.056379821958457,5.62
"Cuttlefish",2,"0%–5%",0.315070480221168,0.278216573296278,-3.69
"Cuttlefish",2,"5%–10%",0.0239001331103451,0.0197991229666062,-0.41
"Cuttlefish",2,"10%–15%",0.00861804157138469,0.0087389665058563,0.01
"Cuttlefish",2,"15%–20%",0.00372879620464862,0.00570259910540084,0.2
"Cuttlefish",2,"20%–25%",0.00598996552783371,0.00767247382387814,0.17
"Cuttlefish",2,"25%–30%",0.0152820915389604,0.0128982879655711,-0.24
"Cuttlefish",2,"30%–35%",0.00649339567903341,0.0062421189327545,-0.03
"Cuttlefish",2,"35%–40%",0.00258541247141541,0.00298617950953884,0.04
"Cuttlefish",2,"40%–45%",0.00143349602375508,0.00266623170494539,0.12
"Cuttlefish",2,"45%–50%",0.00180893545854807,0.00297990602317426,0.12
"Cuttlefish",2,"50%–55%",0.00165534659886003,0.00334376823231975,0.17
"Cuttlefish",2,"55%–60%",0.00309737533704222,0.00459219201887065,0.15
"Cuttlefish",2,"60%–65%",0.00236356189631045,0.00402757824605868,0.17
"Cuttlefish",2,"65%–70%",0.00297791733506263,0.00499996863256818,0.2
"Cuttlefish",2,"70%–75%",0.00636540496262671,0.00714550096925364,0.08
"Cuttlefish",2,"75%–80%",0.00216730946448684,0.00519444670987008,0.3
"Cuttlefish",2,"80%–85%",0.00175773917198539,0.0065181523327959,0.48
"Cuttlefish",2,"85%–90%",0.00539267551793577,0.0137765760566119,0.84
"Cuttlefish",2,"90%–95%",0.0155636711150551,0.0240839141536126,0.85
"Cuttlefish",2,"95%–100%",0.131147820744735,0.0998362620058845,-3.13
"Cuttlefish",3,"0%–5%",0.042757431994266,0.073895395888357,3.11
"Cuttlefish",3,"5%–10%",0.0161097648383904,0.0119886324427074,-0.41
"Cuttlefish",3,"10%–15%",0.00452233864637018,0.00456709807341234,0
"Cuttlefish",3,"15%–20%",0.00266220690125943,0.00228982252307075,-0.04
"Cuttlefish",3,"20%–25%",0.00247448718386293,0.00254076197765384,0.01
"Cuttlefish",3,"25%–30%",0.00766237755554797,0.00621075150093161,-0.15
"Cuttlefish",3,"30%–35%",0.0091300044370115,0.00665616903281661,-0.25
"Cuttlefish",3,"35%–40%",0.00316563705245913,0.00150563672749857,-0.17
"Cuttlefish",3,"40%–45%",0.00129697259292126,0.00104139873651985,-0.03
"Cuttlefish",3,"45%–50%",0.00208198232021571,0.00143035489112364,-0.07
"Cuttlefish",3,"50%–55%",0.00160415031229735,0.00131743213656125,-0.03
"Cuttlefish",3,"55%–60%",0.00362640363152326,0.00311792272319496,-0.05
"Cuttlefish",3,"60%–65%",0.0013822997371924,0.00185067847755033,0.05
"Cuttlefish",3,"65%–70%",0.00269633775896788,0.00360098117326742,0.09
"Cuttlefish",3,"70%–75%",0.0042151609269941,0.00441653440066248,0.02
"Cuttlefish",3,"75%–80%",0.00126284173521281,0.00403385173242326,0.28
"Cuttlefish",3,"80%–85%",0.00172360831427694,0.00575906048268204,0.4
"Cuttlefish",3,"85%–90%",0.00424075907027544,0.0126849894291755,0.84
"Cuttlefish",3,"90%–95%",0.0126796136386907,0.0226410122897598,1
"Cuttlefish",3,"95%–100%",0.0864363971466603,0.0670008343736865,-1.94
"Cuttlefish",4,"0%–5%",0.028029966893068,0.0333184860822705,0.53
"Cuttlefish",4,"5%–10%",0.0113911737601966,0.00919693101047045,-0.22
"Cuttlefish",4,"10%–15%",0.00351547834397078,0.00468002082797473,0.12
"Cuttlefish",4,"15%–20%",0.00167241202771426,0.00132997910929041,-0.03
"Cuttlefish",4,"20%–25%",0.000955664015836718,0.000771638822843019,-0.02
"Cuttlefish",4,"25%–30%",0.0030205809071982,0.00251566803219553,-0.05
"Cuttlefish",4,"30%–35%",0.00896788286289634,0.00701375775559752,-0.2
