"Tool","degree_bin","frac_bin","count","total_nodes","count_norm"
"Bifrost",4,"85%–90%",250,58991,0.00423793460019325
"Bifrost",4,"90%–95%",690,58991,0.0116966994965334
"Bifrost",4,"95%–100%",4719,58991,0.0799952535132478
"Bifrost",5,"0%–5%",129,58991,0.00218677425369972
"Bifrost",5,"5%–10%",28,58991,0.000474648675221644
"Bifrost",5,"10%–15%",11,58991,0.000186469122408503
"Bifrost",5,"15%–20%",11,58991,0.000186469122408503
"Bifrost",5,"20%–25%",7,58991,0.000118662168805411
"Bifrost",5,"25%–30%",6,58991,0.000101710430404638
"Bifrost",5,"30%–35%",7,58991,0.000118662168805411
"Bifrost",5,"35%–40%",2,58991,3.3903476801546e-05
"Bifrost",5,"40%–45%",3,58991,5.0855215202319e-05
"Bifrost",5,"45%–50%",3,58991,5.0855215202319e-05
"Bifrost",5,"50%–55%",3,58991,5.0855215202319e-05
"Bifrost",5,"55%–60%",8,58991,0.000135613907206184
"Bifrost",5,"60%–65%",3,58991,5.0855215202319e-05
"Bifrost",5,"65%–70%",1,58991,1.6951738400773e-05
"Bifrost",5,"70%–75%",9,58991,0.000152565645606957
"Bifrost",5,"75%–80%",1,58991,1.6951738400773e-05
"Bifrost",5,"80%–85%",5,58991,8.4758692003865e-05
"Bifrost",5,"85%–90%",8,58991,0.000135613907206184
"Bifrost",5,"90%–95%",15,58991,0.000254276076011595
"Bifrost",5,"95%–100%",108,58991,0.00183078774728348
"Bifrost",6,"0%–5%",5,58991,8.4758692003865e-05
"Bifrost",6,"5%–10%",3,58991,5.0855215202319e-05
"Bifrost",6,"10%–15%",1,58991,1.6951738400773e-05
"Bifrost",6,"20%–25%",1,58991,1.6951738400773e-05
"Bifrost",6,"60%–65%",1,58991,1.6951738400773e-05
"Bifrost",6,"70%–75%",1,58991,1.6951738400773e-05
"Bifrost",6,"80%–85%",1,58991,1.6951738400773e-05
"Bifrost",6,"90%–95%",1,58991,1.6951738400773e-05
"Bifrost",6,"95%–100%",5,58991,8.4758692003865e-05
"Bifrost",7,"0%–5%",2,58991,3.3903476801546e-05
"Bifrost",7,"35%–40%",1,58991,1.6951738400773e-05
"Bifrost",7,"60%–65%",1,58991,1.6951738400773e-05
"Bifrost",7,"95%–100%",1,58991,1.6951738400773e-05
"Bifrost",8,"95%–100%",2,58991,3.3903476801546e-05
"Cuttlefish",1,"0%–5%",18,117196,0.000153588859688044
"Cuttlefish",2,"0%–5%",36925,117196,0.315070480221168
"Cuttlefish",2,"5%–10%",2801,117196,0.0239001331103451
"Cuttlefish",2,"10%–15%",1010,117196,0.00861804157138469
"Cuttlefish",2,"15%–20%",437,117196,0.00372879620464862
"Cuttlefish",2,"20%–25%",702,117196,0.00598996552783371
"Cuttlefish",2,"25%–30%",1791,117196,0.0152820915389604
"Cuttlefish",2,"30%–35%",761,117196,0.00649339567903341
"Cuttlefish",2,"35%–40%",303,117196,0.00258541247141541
"Cuttlefish",2,"40%–45%",168,117196,0.00143349602375508
"Cuttlefish",2,"45%–50%",212,117196,0.00180893545854807
"Cuttlefish",2,"50%–55%",194,117196,0.00165534659886003
"Cuttlefish",2,"55%–60%",363,117196,0.00309737533704222
"Cuttlefish",2,"60%–65%",277,117196,0.00236356189631045
"Cuttlefish",2,"65%–70%",349,117196,0.00297791733506263
"Cuttlefish",2,"70%–75%",746,117196,0.00636540496262671
"Cuttlefish",2,"75%–80%",254,117196,0.00216730946448684
"Cuttlefish",2,"80%–85%",206,117196,0.00175773917198539
"Cuttlefish",2,"85%–90%",632,117196,0.00539267551793577
"Cuttlefish",2,"90%–95%",1824,117196,0.0155636711150551
"Cuttlefish",2,"95%–100%",15370,117196,0.131147820744735
"Cuttlefish",3,"0%–5%",5011,117196,0.042757431994266
"Cuttlefish",3,"5%–10%",1888,117196,0.0161097648383904
"Cuttlefish",3,"10%–15%",530,117196,0.00452233864637018
"Cuttlefish",3,"15%–20%",312,117196,0.00266220690125943
"Cuttlefish",3,"20%–25%",290,117196,0.00247448718386293
"Cuttlefish",3,"25%–30%",898,117196,0.00766237755554797
"Cuttlefish",3,"30%–35%",1070,117196,0.0091300044370115
"Cuttlefish",3,"35%–40%",371,117196,0.00316563705245913
"Cuttlefish",3,"40%–45%",152,117196,0.00129697259292126
"Cuttlefish",3,"45%–50%",244,117196,0.00208198232021571
"Cuttlefish",3,"50%–55%",188,117196,0.00160415031229735
"Cuttlefish",3,"55%–60%",425,117196,0.00362640363152326
"Cuttlefish",3,"60%–65%",162,117196,0.0013822997371924
"Cuttlefish",3,"65%–70%",316,117196,0.00269633775896788
"Cuttlefish",3,"70%–75%",494,117196,0.0042151609269941
"Cuttlefish",3,"75%–80%",148,117196,0.00126284173521281
"Cuttlefish",3,"80%–85%",202,117196,0.00172360831427694
"Cuttlefish",3,"85%–90%",497,117196,0.00424075907027544
"Cuttlefish",3,"90%–95%",1486,117196,0.0126796136386907
"Cuttlefish",3,"95%–100%",10130,117196,0.0864363971466603
"Cuttlefish",4,"0%–5%",3285,117196,0.028029966893068
"Cuttlefish",4,"5%–10%",1335,117196,0.0113911737601966
"Cuttlefish",4,"10%–15%",412,117196,0.00351547834397078
"Cuttlefish",4,"15%–20%",196,117196,0.00167241202771426
"Cuttlefish",4,"20%–25%",112,117196,0.000955664015836718
"Cuttlefish",4,"25%–30%",354,117196,0.0030205809071982
"Cuttlefish",4,"30%–35%",1051,117196,0.00896788286289634
"Cuttlefish",4,"35%–40%",411,117196,0.00350694562954367
"Cuttlefish",4,"40%–45%",48,117196,0.000409570292501451
"Cuttlefish",4,"45%–50%",104,117196,0.00088740230041981
"Cuttlefish",4,"50%–55%",56,117196,0.000477832007918359
"Cuttlefish",4,"55%–60%",409,117196,0.00348988020068944
"Cuttlefish",4,"60%–65%",104,117196,0.00088740230041981
"Cuttlefish",4,"65%–70%",160,117196,0.00136523430833817
"Cuttlefish",4,"70%–75%",240,117196,0.00204785146250725
"Cuttlefish",4,"75%–80%",44,117196,0.000375439434792996
"Cuttlefish",4,"80%–85%",89,117196,0.000759411584013106
"Cuttlefish",4,"85%–90%",234,117196,0.00199665517594457
"Cuttlefish",4,"90%–95%",898,117196,0.00766237755554797
"Cuttlefish",4,"95%–100%",16755,117196,0.142965630226288
"Cuttlefish",5,"0%–5%",63,117196,0.000537561008908154
"Cuttlefish",5,"5%–10%",66,117196,0.000563159152189495
"Cuttlefish",5,"10%–15%",31,117196,0.00026451414724052
"Cuttlefish",5,"15%–20%",14,117196,0.00011945800197959
"Cuttlefish",5,"20%–25%",4,117196,3.41308577084542e-05
"Cuttlefish",5,"25%–30%",6,117196,5.11962865626813e-05
"Cuttlefish",5,"30%–35%",37,117196,0.000315710433803201
"Cuttlefish",5,"35%–40%",35,117196,0.000298645004948974
"Cuttlefish",5,"45%–50%",12,117196,0.000102392573125363
"Cuttlefish",5,"50%–55%",3,117196,2.55981432813407e-05
"Cuttlefish",5,"55%–60%",11,117196,9.38598586982491e-05
"Cuttlefish",5,"60%–65%",5,117196,4.26635721355678e-05
"Cuttlefish",5,"65%–70%",13,117196,0.000110925287552476
"Cuttlefish",5,"70%–75%",11,117196,9.38598586982491e-05
"Cuttlefish",5,"75%–80%",5,117196,4.26635721355678e-05
"Cuttlefish",5,"80%–85%",7,117196,5.97290009897949e-05
"Cuttlefish",5,"85%–90%",15,117196,0.000127990716406703
"Cuttlefish",5,"90%–95%",34,117196,0.000290112290521861
"Cuttlefish",5,"95%–100%",330,117196,0.00281579576094747
"Cuttlefish",6,"0%–5%",5,117196,4.26635721355678e-05
"Cuttlefish",6,"5%–10%",5,117196,4.26635721355678e-05
"Cuttlefish",6,"10%–15%",1,117196,8.53271442711355e-06
"Cuttlefish",6,"30%–35%",1,117196,8.53271442711355e-06
"Cuttlefish",6,"35%–40%",2,117196,1.70654288542271e-05
"Cuttlefish",6,"90%–95%",2,117196,1.70654288542271e-05
"Cuttlefish",6,"95%–100%",19,117196,0.000162121574115158
"Cuttlefish",7,"95%–100%",4,117196,3.41308577084542e-05
"Cuttlefish",8,"0%–5%",1,117196,8.53271442711355e-06
"PPanGGOLiN",1,"0%–5%",25,7106,0.00351815367295243
"PPanGGOLiN",1,"5%–10%",1,7106,0.000140726146918097
