Method	Node Count	Edge Count	Subgraph Count
panaroo	6891	7307	145
roary	10050	13169	622
PPanGGOLiN	7266	8248	66
ggcaller	7451	7677	723
bifrost	62595	80398	498
cuttlefish	159401	204271	6
pangraph	577	275	515
