Tool,Median,Q1,Q3
PPanGGOLiN,2.0,2.0,2.0
bifrost,2.0,2.0,3.0
cuttlefish,2.0,2.0,3.0
ggcaller,2.0,2.0,2.0
panaroo,2.0,2.0,2.0
pangraph,0.0,0.0,2.0
roary,2.0,2.0,3.0
