Method	Node Count	Edge Count	Subgraph Count
panaroo	8740	12925	6
roary	12574	20316	7
PPanGGOLiN	7148	9593	4
ggcaller	7625	9152	582
bifrost	58991	78439	324
cuttlefish	117196	157027	2
pangraph	1667	2192	332
