Tool,Median,Q1,Q3
PPanGGOLiN,683.0,383.0,1106.75
bifrost,61.0,42.0,62.0
cuttlefish,61.0,41.0,61.0
ggcaller,660.0,357.0,1086.0
panaroo,636.0,342.0,1062.0
pangraph,646.0,247.0,2407.5
roary,578.0,326.0,1001.0
