Tool,Median,Q1,Q3
PPanGGOLiN,674.0,377.0,1097.0
bifrost,61.0,40.0,62.0
cuttlefish,60.0,39.0,61.0
ggcaller,651.0,348.0,1074.0
panaroo,633.0,340.5,1062.0
pangraph,517.5,183.0,2099.75
roary,569.0,320.0,992.0
