Tool,Median,Q1,Q3
PPanGGOLiN,662.0,365.0,1088.75
bifrost,61.0,38.0,62.0
cuttlefish,54.0,36.0,61.0
ggcaller,642.0,342.0,1062.0
panaroo,648.0,348.0,1071.0
pangraph,666.0,180.0,2868.0
roary,569.0,311.0,986.0
