Method	Node Count	Edge Count	Subgraph Count
panaroo	7593	8561	140
roary	10985	14965	706
PPanGGOLiN	7248	8696	53
ggcaller	7561	8251	643
bifrost	61885	80032	458
cuttlefish	152511	196400	4
pangraph	910	1060	259
